AR_id,Numero_notice,ISBN
325,0002861853,2922145948
326,0002861853,2922145999
327,0006678226,9782896152995
328,0003612902,9782896150298
329,0000530280,2922145468
330,0000530280,2922145476
331,0000530280,2922145794
332,0000530280,2922145808
333,0000530280,9782896150458
334,0000530280,9782896150465
335,0002587770,2922145867
336,0003754452,9782896150403
337,0004926630,9782896151196
338,0005378011,9782896151523
339,0007318827,9782898350221
340,0007318827,9782898350238
341,0007318827,9782898350689
342,0004335951,9782896150854
343,0003832282,9782896150496
344,0004584569,9782896150878
345,0004584569,9782896151042
346,0004584569,9782896151134
347,0004136651,9782896150762
348,0004136651,9782896150816
349,0004136651,9782896150953
350,0004136651,9782896151103
351,0004116971,9782896150731
352,0005890540,9782896151714
353,0006205126,9782896152063
354,0002658184,2922145883
355,0002856100,2922145824
356,0005515227,9782896151479
357,0001368279,9782922145762
358,0004474834,9782896150922
359,0005999712,9782896151981
360,0005890550,9782896151882
361,0004335959,9782896150861
362,0002954318,2896150005
363,0002954318,2896150013
364,0002954318,2896150021
365,0002954318,2-89615-003-X
366,0002954318,9782896150106
367,0004738731,9782896151127
368,0004041985,9782896150663
369,0003754449,9782896150410
370,0003358111,9782896150205
371,0006607245,9782896153114
372,0004203921,9782896154029
373,0006346686,9782896152216
374,0003691364,9782896150359
375,0005890151,9782896151905
376,0003708815,9782896150380
377,0003612899,9782896150304
378,0004578964,9782896150977
379,0004189461,9782896150786
380,0005629085,9782896151707
381,0000556214,2922145387
382,0005783436,9782896151745
384,0000569236,2922145395
386,0000608593,2922145573
387,0000614532,2922145662
388,0000572080,2922145433
389,0003256557,9782896150120
390,0000614766,9782922145564
392,0003574782,9782896150274
393,0000565775,2922145328
394,0000567933,2922145409
395,0000591469,9782922145533
396,0000607996,2922145611
397,0003795098,9782896150458
398,0003795098,9782896150465
399,0005559659,9782896943449
400,0003904843,9782923550565
401,0005043302,9782896942251
402,0003177005,2923550013
403,0005607116,9782896943494
404,0003602931,9782923550152
405,0005852377,9782896944002
406,0003631527,9782923550190
407,0004172865,9782896940028
408,0003876519,9782923550381
409,0005463462,9782896942381
410,0005607133,9782896943418
411,0004724418,9782896941841
412,0006115859,2896944435
413,0006341407,2896944737
414,0004301068,9782896940738
415,0005329253,9782896942442
416,0004553328,9782896941698
417,0005222139,9782896941988
418,0006399990,2896945024
419,0005745380,9782896943678
420,0004351603,9782896941179
421,0003993088,9782923550619
422,0004071618,9782923550824
423,0003876628,9782923550404
424,0004308995,9782923550978
425,0003351719,9782923550091
426,0004172852,9782923550992
427,0003876635,9782923550374
428,0006260484,2896944583
430,0004511833,9782896941223
431,0005018967,9782896942282
432,0006631323,2896945318
433,0004136638,9782923550855
434,0004547527,9782896940981
435,0003328480,9782923550084
436,0005852372,9782896943968
437,0004285847,9782896940783
438,0006581898,9782896945276
439,0004296861,9782896940790
440,0004205174,9782923550336
442,0004447273,9782896941582
443,0005211972,9782896942411
444,0005819827,9782896943906
445,0005043317,9782896941926
446,0003775020,9782923550275
447,0005420194,9782896943098
448,0006341410,2896944702
449,0005329264,9782896942909
450,0003624030,9782923550183
451,0006399989,2896944907
452,0006071697,2896944397
453,0005718866,9782896943760
454,0004005795,9782923550657
455,0006252421,2896944494
456,0003876611,9782923550398
457,0004745437,9782896941957
458,0005401808,9782896943128
459,0004885869,9782896942183
460,0004059744,9782923550787
461,0003672329,9782923550237
462,0003242665,9782923550046
463,0003188797,2923550021
464,0006252420,2896944532
465,0004727138,9782896940974
466,0003188773,2-923550-03-X
467,0006581896,2896945210
468,0004618878,9782896941803
469,0004654437,9782896941001
470,0004693179,9782896940998
472,0003244765,9782207259306
473,0006057993,2896944362
474,0004521493,9782310013413
475,0005796624,9782310035590
476,0004420548,9782310011976
477,0005067526,9782310021647
478,0004054305,9782310008389
479,0004722249,9782310016438
480,0004650033,9782310014885
481,0006054588,9782310039437
482,0006100841,9782310038133
483,0003879378,9782310003506
